"second","TerrenceJones","RashadVaughn","MalcolmBrogdon","SpencerHawes","TonySnell","GiannisAntetokounmpo","KhrisMiddleton","MirzaTeletovic","JasonTerry","MatthewDellavedova","GregMonroe","ThonMaker","JohnHenson","AxelToupane","MichaelBeasley","JabariParker","MilesPlumlee","SteveNovak"
2455,0,11,51,2,22,48,10,29,41,27,39,7,13,0,18,34,3,0
2456,0,11,51,2,22,48,10,29,41,27,39,7,13,0,18,34,3,0
2457,0,11,51,2,22,48,10,29,41,27,39,7,13,0,18,34,3,0
2458,0,11,50,2,22,49,10,29,41,28,38,7,14,0,17,34,3,0
2459,0,11,50,2,22,49,10,29,41,28,38,7,14,0,17,34,3,0
2460,0,11,50,2,22,49,10,29,41,28,38,7,14,0,17,34,3,0
2461,0,11,50,2,22,49,10,29,41,28,38,7,14,0,17,34,3,0
2462,0,11,50,2,22,49,10,29,41,28,38,7,14,0,17,34,3,0
2463,0,11,50,2,22,49,10,29,40,29,38,7,14,0,17,34,3,0
2464,0,11,50,2,22,49,10,29,40,29,38,7,14,0,17,34,3,0
2465,0,11,50,2,23,50,9,29,40,29,38,7,14,0,16,34,3,0
2466,0,11,49,2,23,50,9,29,40,30,38,7,14,0,16,34,3,0
2467,0,11,49,2,23,50,9,29,40,30,38,7,14,0,16,34,3,0
2468,0,11,49,2,23,50,9,29,40,30,38,7,14,0,16,34,3,0
2469,0,11,50,2,23,50,9,29,40,29,38,7,14,0,16,34,3,0
2470,0,11,49,2,23,50,9,29,40,30,38,7,14,0,15,35,3,0
2471,0,11,49,2,23,50,9,29,40,30,38,7,14,0,15,35,3,0
2472,0,11,49,2,23,50,9,29,40,30,38,7,14,0,15,35,3,0
2473,0,11,49,2,23,50,9,29,40,30,38,7,14,0,15,35,3,0
2474,0,11,48,2,23,50,9,29,40,31,38,7,14,0,16,34,3,0
2475,0,11,48,2,23,52,9,29,39,31,38,7,14,0,15,34,3,0
2476,0,11,48,2,23,52,9,29,39,31,38,7,14,0,15,34,3,0
2477,0,11,48,2,23,52,9,29,39,31,38,7,14,0,15,34,3,0
2478,0,11,48,2,23,52,9,29,39,31,38,7,14,0,15,34,3,0
2479,0,11,48,2,23,52,9,29,39,31,38,7,14,0,15,34,3,0
2480,0,11,48,2,23,52,9,29,39,31,38,7,14,0,15,34,3,0
2481,0,11,48,2,23,52,9,29,39,31,38,7,14,0,15,34,3,0
2482,0,11,48,2,24,52,9,29,38,31,38,7,14,0,15,34,3,0
2483,0,11,49,2,24,52,9,29,38,30,37,7,15,0,15,34,3,0
2484,0,11,49,2,24,52,9,29,38,30,37,7,15,0,15,34,3,0
2485,0,11,49,2,24,52,9,29,38,30,37,7,15,0,15,34,3,0
